 TRIP_DISTANCE,TEL_TRIPSTART,Trip Start time in mins, TEL_STARTODO, TEL_TRIPEND,Trip End time in mins,Difference of trip times, TEL_ENDODO, TEL_SOC_START, TEL_SOC_END,Percent Lost SOC, TEL_AVG_VELOCITY, AC_ON_DURATION, HEADLAMP_ON_DURATION, CHARGE_START, CHARGE_END, CHARGE_AMOUNT (Wh), FULLCHARGEFLAG, FULLCHARGE_KMSPAN, FULLCHARGE_EFFICIENCY, FULLCHARGE_AMOUNT, VEHICLE_ID, START_BAT_ACTUAL, END_BAT_ACTUAL
37,02:58.9,0002,23998,41:57.9,0041,39,24035,52,22,30,56.92,1.03,0,40:00.0,40:00.0,13548,1,148,145.135135,21480,6,8,2
8,00:24.9,0000,16703,24:37.9,0024,24,16712,77,69,8,22.5,0,0,48:00.0,49:00.0,5124,1,28,183,5124,18,13,11
16,27:50.0,0027,3062,47:35.0,0047,20,3076,68,50,18,42,0,0,51:00.0,30:00.0,19830,1,50,396.6,19830,22,11,-1
5,10:11.2,0010,7445,32:25.2,0032,22,7450,97,93,4,13.64,17.98,0,37:00.0,43:00.0,3223,1,5,644.6,3223,18,16,15
1,25:34.6,0025,835,54:10.6,0054,29,843,82,74,8,16.55,28.6,0,58:00.0,05:00.0,10710,1,27,396.666667,10710,10,13,-1
37,03:48.5,0003,26883,41:51.6,0041,38,26920,65,-5,70,58.42,0,0,40:00.0,50:00.0,11034,1,74,149.108108,11034,6,10,-1
5,11:24.1,0011,25900,35:22.2,0035,24,25912,38,26,12,30,0,0,30:00.0,00:00.0,3968,0,,,,17,4,3
6,40:07.4,0040,9870,55:00.5,0055,15,9876,51,46,5,24,0,9.3,50:00.0,40:00.0,9500,1,52,182.692308,9500,7,7,7
25,18:15.1,0018,17063,54:46.1,0054,36,17089,79,59,20,43.33,0,36.52,50:00.0,20:00.0,6213,1,55,112.963636,6213,15,13,9
37,18:48.8,0018,27283,58:38.9,0058,40,27320,58,25,33,55.5,0,39.83,50:00.0,40:00.0,12989,1,75,173.186667,12989,6,9,3
2,12:05.5,0012,11071,30:05.6,0030,18,11076,87,82,5,16.67,0,0,31:00.0,36:00.0,2991,1,7,427.285714,2991,20,15,14
7,13:48.6,0013,18242,27:03.7,0027,14,18250,69,61,8,34.29,13.25,0,40:00.0,00:00.0,5992,1,46,130.26087,5992,19,11,10
16,16:14.6,0016,25678,39:58.7,0039,23,25694,65,45,20,41.74,0,0,30:00.0,40:00.0,8192,1,50,163.84,8192,13,11,7
12,22:55.5,0022,16304,53:37.5,0053,31,16317,87,76,11,25.16,0,0,50:00.0,40:00.0,2184,0,,,,15,15,13
28,18:13.1,0018,8692,19:04.2,0019,1,8718,68,50,18,25.57,60.85,0,22:00.0,20:00.0,30254,1,59,512.779661,30254,13,11,6
24,15:14.5,0015,7851,52:15.5,0052,37,7874,65,49,16,37.3,0,3.93,58:00.0,34:00.0,10317,1,61,169.131148,10317,18,11,-1
9,32:40.6,0032,16342,50:09.6,0050,18,16351,73,66,7,30,0,13.32,50:00.0,51:00.0,5539,1,59,130.898305,7723,15,13,11
4,31:04.8,0031,24861,52:24.8,0052,21,24865,39,33,6,11.43,10.88,6.1,10:00.0,20:00.0,11159,1,69,161.724638,11159,17,5,4
5,09:24.0,0009,9337,21:12.0,0021,12,9342,52,-5,57,25,0,8.72,20:00.0,00:00.0,9872,1,53,186.264151,9872,7,7,6
7,17:16.6,0017,19722,34:25.7,0034,17,19730,72,65,7,28.24,4.1,0,34:00.0,49:00.0,6008,1,75,173.96,13047,16,12,-1
8,19:15.7,0019,17894,32:29.7,0032,13,17902,88,79,9,36.92,13.23,0,50:00.0,00:00.0,2995,1,21,142.619048,2995,19,15,14
5,39:58.0,0039,24897,50:44.1,0050,11,24902,81,75,6,27.27,0,0,50:00.0,20:00.0,4002,1,21,439.095238,9221,13,14,13
37,12:29.8,0012,26958,48:28.8,0048,36,26995,66,33,33,61.67,0,0,40:00.0,50:00.0,10953,1,75,146.04,10953,6,10,4
9,09:25.6,0009,854,24:09.7,0024,15,861,99,92,7,28,14.73,0,35:00.0,05:00.0,6546,1,9,727.333333,6546,10,16,15
13,10:45.8,0010,10306,37:24.8,0037,27,10319,92,78,14,28.89,0,0,40:00.0,00:00.0,3347,1,13,257.461538,3347,7,16,13
7,40:54.6,0040,18900,50:51.6,0050,10,18907,89,81,8,42,0,0,10:00.0,10:00.0,2420,1,16,151.25,2420,19,15,-1
3,08:56.9,0008,27345,18:38.9,0018,10,27349,61,55,6,24,0,0,10:00.0,10:00.0,7539,1,50,150.78,7539,17,10,8
17,05:49.0,0005,8113,51:35.0,0051,46,8128,74,60,14,19.57,45.77,0,56:00.0,35:00.0,7440,1,42,177.142857,7440,11,12,8
27,09:34.0,0009,9051,46:23.1,0046,37,9072,68,50,18,34.05,36.82,0,50:00.0,10:00.0,16400,1,58,282.758621,16400,13,11,6
11,28:02.9,0028,7652,38:04.0,0038,10,7653,55,53,2,6,0,1,44:00.0,21:00.0,9052,1,30,301.733333,9052,18,9,7
7,37:36.4,0037,8542,53:20.4,0053,16,8544,74,72,2,7.5,15.73,0,56:00.0,45:00.0,9874,1,26,379.769231,9874,11,12,11
6,36:23.5,0036,8291,50:24.5,0050,14,8297,48,43,5,25.71,0,0,55:00.0,22:00.0,8806,0,,,,11,6,5
13,24:43.5,0024,8297,58:29.6,0058,34,8310,83,68,15,22.94,1.62,0,06:00.0,18:00.0,7926,1,91,216.307692,19684,11,13,10
28,40:25.2,0040,7768,55:24.2,0055,15,7777,55,49,6,36,0,1.93,03:00.0,31:00.0,9758,1,58,168.241379,9758,18,11,-1
10,29:23.9,0029,9706,38:24.9,0038,9,9714,38,30,8,53.33,9.02,0,00:00.0,40:00.0,12759,1,123,156.390244,19236,11,5,3
11,03:15.2,0003,7791,18:18.2,0018,15,7799,92,87,5,32,0,1,28:00.0,16:00.0,4706,1,22,213.909091,4706,18,15,14
20,28:13.8,0028,8378,59:59.9,0100,72,8395,65,51,14,32.9,31.77,0,05:00.0,23:00.0,7636,0,,,,11,10,7
4,05:05.2,0005,4663,08:05.2,0008,3,4665,83,80,3,40,0,0,10:00.0,10:00.0,4543,1,23,197.521739,4543,6,13,12
14,16:11.1,0016,4915,25:12.1,0025,9,4925,106,97,9,66.67,9.02,0,50:00.0,20:00.0,14588,0,,,,10,16,-1
66,05:20.1,0005,4933,09:24.2,0009,4,4997,90,25,65,60,64.07,0,15:00.0,00:00.0,26724,0,,,,10,15,-1
55,19:15.5,0019,11168,33:06.6,0033,14,11225,95,20,75,46.22,0,71.8,30:00.0,30:00.0,6543,0,,,,24,16,2
5,02:41.5,0002,16122,18:22.5,0018,16,16132,62,49,13,37.5,0,15.68,00:00.0,00:00.0,7904,1,40,197.6,7904,11,8,7
38,01:04.8,0001,16617,02:39.8,0002,1,16656,102,56,46,38.36,0,0,04:00.0,37:00.0,7047,1,39,180.692308,7047,11,16,9
10,35:59.5,0036,4313,53:03.5,0053,17,4324,84,73,11,36.67,0,14.53,10:00.0,00:00.0,4440,1,25,177.6,4440,8,14,-1
5,25:27.7,0025,8356,32:58.7,0032,7,8361,52,46,6,42.86,0,6,10:00.0,40:00.0,9148,1,47,194.638298,9148,19,8,7
8,34:02.1,0034,15786,49:56.2,0049,15,15794,34,22,12,32,0,12.32,50:00.0,10:00.0,15111,1,157,169.254777,26573,13,4,2
57,26:49.4,0026,12019,52:07.5,0052,26,12090,90,17,73,49.53,0,0,50:00.0,40:00.0,13066,1,81,161.308642,13066,6,12,1
7,13:26.9,0013,16034,33:16.0,0033,20,16041,27,20,7,21,0,16.27,00:00.0,00:00.0,13370,1,78,171.410256,13370,13,3,2
40,23:59.5,0024,16835,30:44.6,0030,6,16876,97,50,47,36.72,0,66.75,00:00.0,50:00.0,7466,1,41,182.097561,7466,11,16,7
2,10:09.9,0010,4437,15:49.9,0015,5,4439,53,51,2,24,0,3.1,10:00.0,10:00.0,7915,1,36,219.861111,7915,8,9,8
20,02:59.8,0003,2649,34:12.9,0034,31,2669,81,62,19,37.5,0,0,35:00.0,27:00.0,6819,0,,,,21,16,10
3,29:50.2,0029,6208,41:08.2,0041,12,6211,71,70,1,15,11.3,0,50:00.0,40:00.0,4744,1,23,206.26087,4744,22,12,-1
7,22:33.3,0022,11264,51:54.3,0051,29,11272,89,81,8,16.55,17.83,0,51:00.0,08:00.0,857,0,,,,14,15,14
25,11:39.0,0011,8345,47:48.0,0047,36,8371,23,3,20,43.33,0,0,49:00.0,20:00.0,1589,0,,,,24,3,0
4,08:48.6,0008,6866,26:44.6,0026,18,6871,27,21,6,16.67,0,16.45,00:00.0,00:00.0,13558,1,87,155.83908,13558,12,3,2
4,36:38.8,0036,1680,48:55.8,0048,12,1683,74,69,5,15,0,12.28,20:00.0,50:00.0,6565,1,20,328.25,6565,8,12,10
9,28:10.9,0028,4971,35:11.9,0035,7,4979,46,40,6,68.57,7.02,7.02,40:00.0,00:00.0,11421,1,64,178.453125,11421,24,6,5
62,12:55.2,0012,6432,53:44.3,0053,41,6490,97,31,66,84.88,7.42,0,50:00.0,30:00.0,13819,1,62,222.887097,13819,6,16,3
17,07:25.1,0007,14204,59:56.2,0059,52,14259,96,30,66,63.46,30.32,49.52,02:00.0,50:00.0,10764,1,56,192.214286,10764,6,8,4
4,04:21.8,0004,11144,20:46.8,0020,16,11148,63,58,5,15,13.35,15.92,23:00.0,37:00.0,6393,1,38,168.236842,6393,5,11,9
17,25:05.7,0025,5494,46:09.8,0046,21,5511,80,62,18,48.57,0,0,48:00.0,42:00.0,5412,1,39,138.769231,5412,9,13,-1
7,11:36.8,0011,17050,25:28.8,0025,14,17058,69,61,8,34.29,0,12.33,20:00.0,20:00.0,2330,0,,,,13,11,10
7,14:51.8,0014,17058,34:16.8,0034,20,17066,75,66,9,24,0,11.75,50:00.0,10:00.0,4467,1,39,174.282051,6797,13,12,11
12,20:50.0,0020,16698,39:18.0,0039,19,16711,60,48,12,41.05,0,16.45,00:00.0,00:00.0,8303,1,55,150.963636,8303,11,9,7
16,01:08.8,0001,8399,43:33.8,0043,42,8425,64,40,24,37.14,0,0,55:00.0,32:00.0,9959,1,64,155.609375,9959,19,8,-1
10,05:53.2,0005,4904,26:34.2,0026,21,4914,85,75,10,28.57,0,0,29:00.0,54:00.0,3775,1,26,145.192308,3775,9,14,13
38,20:34.4,0020,15272,32:53.5,0032,12,15311,99,58,41,32.5,63.08,0,32:00.0,08:00.0,1772,0,,,,11,16,9
65,02:55.7,0002,12077,05:51.8,0005,3,12144,89,17,72,63.81,0,22.6,06:00.0,34:00.0,7036,0,,,,10,15,-1
55,01:29.9,0001,10565,02:56.0,0002,1,10621,102,41,61,55.08,0,23.83,00:00.0,50:00.0,10101,1,56,180.375,10101,6,16,6
39,13:03.7,0013,15803,28:21.8,0028,15,15843,101,64,37,32,0,0,29:00.0,28:00.0,5394,1,40,134.85,5394,11,16,10
64,14:20.3,0014,6496,56:24.4,0056,42,6558,104,35,69,88.57,36.05,0,02:00.0,05:00.0,11520,1,68,169.411765,11520,6,16,4
8,22:13.4,0022,3741,40:04.4,0040,18,3749,17,8,9,26.67,0,0,43:00.0,41:00.0,14087,1,82,171.792683,14087,20,1,0
1,45:47.6,0045,13212,55:59.6,0056,11,13214,53,-5,58,12,0,0,57:00.0,13:00.0,3776,0,,,,14,9,8
54,47:53.3,0047,14904,52:18.3,0052,5,14960,97,38,59,51.69,0,0,55:00.0,15:00.0,9680,1,56,172.857143,9680,6,16,5
9,20:35.6,0020,5749,41:41.6,0041,21,5759,83,74,9,28.57,0,18.28,47:00.0,13:00.0,1379,0,,,,9,14,-1
7,16:26.3,0016,10483,28:09.3,0028,12,10490,55,43,12,35,0,8.67,00:00.0,50:00.0,9509,1,41,231.926829,9509,19,8,6
9,12:35.7,0012,11325,25:23.7,0025,13,11333,41,33,8,36.92,0,10.25,00:00.0,10:00.0,10688,1,9,1187.555556,10688,17,5,4
11,22:51.9,0022,11220,53:56.9,0053,31,11231,55,44,11,21.29,0,0,54:00.0,23:00.0,9642,1,71,170.28169,12090,14,8,6
8,29:58.0,0029,15146,59:58.1,0059,30,15155,58,47,11,18,30,0,01:00.0,08:00.0,3302,0,,,,11,9,-1
39,10:00.0,0010,15155,14:28.1,0014,4,15194,67,-5,72,36.56,10.7,38.88,00:00.0,40:00.0,12389,1,106,171.330189,18161,11,11,3
14,43:20.4,0043,7442,52:50.4,0052,9,7447,86,82,4,33.33,8.18,0,10:00.0,00:00.0,2351,0,,,,19,15,12
4,14:55.6,0014,4335,24:42.6,0024,10,4340,98,94,4,30,3.12,0,58:00.0,12:00.0,252,1,5,50.4,252,9,16,16
11,33:39.4,0033,11593,52:47.5,0052,19,11605,66,59,7,37.89,0,0,23:00.0,12:00.0,8385,1,65,129,8385,14,11,10
13,34:15.9,0034,15881,51:43.9,0051,17,15894,57,40,17,45.88,0,17.47,00:00.0,30:00.0,9013,1,51,176.72549,9013,11,9,-1
13,05:56.8,0005,3831,28:05.8,0028,23,3844,53,35,18,33.91,0,22.15,10:00.0,10:00.0,10366,1,54,191.962963,10366,8,8,5
9,13:07.1,0013,10678,34:14.2,0034,21,10687,59,50,9,25.71,0,19.58,36:00.0,25:00.0,2380,0,,,,6,8,11
5,37:20.5,0037,7707,41:57.5,0041,4,7712,61,55,6,75,4.62,3.08,40:00.0,30:00.0,7470,1,36,207.5,7470,19,10,8
24,11:57.0,0011,6198,47:45.1,0047,36,6222,60,31,29,40,35.8,0,40:00.0,10:00.0,11951,1,60,199.183333,11951,24,9,6
5,17:59.2,0017,9971,36:23.2,0036,19,9977,77,73,4,18.95,0,18.4,45:00.0,46:00.0,4638,1,25,185.52,4638,18,13,12
41,04:21.9,0004,18190,05:56.9,0005,1,18231,96,46,50,40.33,0,0,08:00.0,03:00.0,8286,1,41,202.097561,8286,11,16,7
37,19:09.3,0019,15646,23:48.4,0023,4,15685,97,63,34,36.56,0,0,25:00.0,36:00.0,5942,1,39,152.358974,5942,11,16,-1
12,25:54.7,0025,6822,47:52.7,0047,22,6835,63,52,11,35.45,0,0,01:00.0,30:00.0,6904,1,39,177.025641,6904,23,10,8
6,41:33.2,0041,11201,53:53.2,0053,12,11208,55,48,7,35,12.33,0,56:00.0,04:00.0,8722,1,64,136.28125,8722,6,7,7
27,10:55.2,0010,6503,57:30.2,0057,47,6530,47,21,26,34.47,46.58,0,10:00.0,37:00.0,8466,0,,,,15,7,3
15,28:39.0,0028,3537,53:54.0,0053,25,3552,70,58,12,36,0,0,00:00.0,55:00.0,7062,1,48,147.125,7062,9,11,9
39,46:22.6,0046,12877,47:28.7,0047,1,12917,98,60,38,39.34,54.47,0,10:00.0,50:00.0,6376,1,40,159.4,6376,11,16,9
10,04:25.7,0004,2052,19:24.7,0019,15,2062,58,47,11,40,0,13.45,10:00.0,30:00.0,8682,1,59,147.152542,8682,8,9,7
10,04:13.7,0004,12062,26:45.8,0026,22,12072,88,80,8,27.27,22.53,22.53,32:00.0,15:00.0,3519,1,19,185.210526,3519,18,15,14
24,08:40.6,0008,9650,48:03.7,0048,40,9674,58,34,24,36,0,38.27,50:00.0,10:00.0,10994,1,56,196.321429,10994,15,9,4
2,13:06.9,0013,10204,19:42.9,0019,6,10206,40,37,3,20,0,4.58,00:00.0,00:00.0,10339,1,57,181.385965,10339,19,4,4
1,27:55.7,0027,7836,42:36.7,0042,15,7840,41,33,8,16,0,11.43,02:00.0,04:00.0,11177,1,47,237.808511,11177,23,6,-1
82,26:55.2,0026,3017,45:49.3,0045,19,3100,99,12,87,63.04,0,77.38,40:00.0,50:00.0,13756,1,83,165.73494,13756,20,16,0
17,02:53.3,0002,14323,53:45.3,0053,51,14379,102,33,69,65.88,25.92,46.82,57:00.0,40:00.0,10567,1,56,188.696429,10567,6,8,4
24,13:25.1,0013,11192,59:51.2,0059,46,11216,72,44,28,31.3,46.43,46.43,00:00.0,00:00.0,8556,1,47,182.042553,8556,5,13,6
39,46:02.8,0046,18463,50:56.8,0050,4,18502,84,38,46,36.56,59.28,21.08,54:00.0,30:00.0,9842,1,47,209.404255,9842,11,14,5
59,10:29.3,0010,3100,34:17.4,0034,24,3173,97,13,84,52.14,1.53,0,36:00.0,23:00.0,2440,0,,,,20,13,1
3,05:32.4,0005,3181,11:46.4,0011,6,3183,20,18,2,20,0,0,15:00.0,43:00.0,12651,1,83,181.819277,15091,20,2,2
9,38:36.8,0038,5521,52:28.8,0052,14,5530,93,86,7,38.57,0,0,55:00.0,46:00.0,2080,1,9,231.111111,2080,9,16,15
30,11:45.9,0011,5546,51:33.9,0051,40,5577,86,61,25,46.5,3.07,0,03:00.0,00:00.0,1308,1,47,27.829787,1308,9,15,10
54,01:09.4,0001,14379,05:57.4,0005,4,14436,97,35,62,53.44,37.33,0,00:00.0,30:00.0,10615,1,57,186.22807,10615,6,16,-1
63,04:28.5,0004,10193,53:49.5,0053,49,10256,102,26,76,77.14,28.85,40.57,50:00.0,50:00.0,12331,1,63,195.730159,12331,6,16,3
6,29:41.0,0029,8671,47:14.0,0047,18,8677,91,84,7,20,10.4,0,40:00.0,50:00.0,2615,1,6,435.833333,2615,24,16,14
8,07:18.0,0007,2872,24:13.1,0024,17,2881,93,85,8,31.76,0,0,00:00.0,32:00.0,2714,1,9,301.555556,2714,21,16,14
18,20:42.7,0020,11848,36:47.8,0036,16,11868,77,51,26,15.79,15.02,0,37:00.0,09:00.0,4455,0,,,,14,13,8
9,38:51.1,0038,12829,58:25.1,0058,20,12839,81,71,10,30,0,0,59:00.0,40:00.0,4681,1,82,57.085366,4681,10,14,12
20,10:51.8,0010,11868,46:58.8,0046,36,11888,78,59,19,33.33,0,0,47:00.0,03:00.0,6439,1,59,184.644068,10894,14,13,9
18,15:56.8,0015,11888,47:31.9,0047,32,11907,102,85,17,35.63,0,0,48:00.0,27:00.0,3642,1,19,191.684211,3642,14,16,14
80,34:16.1,0034,12841,43:56.2,0043,9,12922,99,10,89,70.43,0,67.65,20:00.0,40:00.0,14373,1,81,177.444444,14373,10,16,0
3,10:15.6,0010,4051,21:37.6,0021,11,4054,66,62,4,16.36,0,7.32,00:00.0,10:00.0,5694,1,48,118.625,5694,8,12,10
1,10:46.5,0010,8145,17:30.5,0017,7,8147,29,27,2,17.14,5.72,5.22,00:00.0,40:00.0,12571,1,63,199.539683,12571,15,4,-1
38,19:03.6,0019,16174,56:46.7,0056,37,16213,97,52,45,63.24,0,36.38,00:00.0,50:00.0,7406,1,39,189.897436,7406,11,16,8
25,22:21.6,0022,16876,26:59.7,0027,5,16915,96,53,43,36.56,0,0,30:00.0,13:00.0,1892,1,39,48.512821,1892,11,16,8
39,01:22.7,0001,16915,08:09.8,0008,7,16954,101,56,45,34.93,0,61.58,00:00.0,30:00.0,6373,1,39,163.410256,6373,11,16,9
12,33:43.3,0033,10252,56:44.4,0056,23,10264,71,53,18,31.3,7.13,23.02,01:00.0,20:00.0,15541,1,32,485.65625,15541,14,12,8
25,04:53.7,0004,6623,10:43.8,0010,6,6649,55,28,27,23.64,49.87,18.53,16:00.0,10:00.0,5426,0,,,,15,8,3
13,05:54.1,0005,13076,25:22.2,0025,20,13090,59,43,16,42,0,6.25,10:00.0,50:00.0,8924,1,53,168.377358,8924,11,9,6
6,26:45.1,0026,2164,39:02.1,0039,13,2171,53,46,7,32.31,0,10.23,10:00.0,40:00.0,8939,1,50,178.78,8939,8,8,7
2,01:15.9,0001,6313,10:29.9,0010,9,6317,65,61,4,26.67,9.23,9.23,40:00.0,10:00.0,6694,1,36,185.944444,6694,24,10,10
